ID,ChrRacesID,Sex,OptionID,Data,ChrCustomizationChoiceID,DependentOptionID,DependentData
1,1,0,1,0,1,0,0
2,1,0,1,1,2,0,0
3,1,0,1,2,3,0,0
4,1,0,1,3,4,0,0
5,1,0,1,4,5,0,0
6,1,0,1,5,6,0,0
7,1,0,1,6,7,0,0
8,1,0,1,7,8,0,0
9,1,0,1,8,9,0,0
10,1,0,1,9,10,0,0
11,1,0,1,10,11,0,0
12,1,0,1,11,12,0,0
13,1,0,1,12,13,0,0
14,1,0,1,13,14,0,0
15,1,0,1,14,15,0,0
16,1,0,1,15,16,0,0
17,1,0,1,16,17,0,0
18,1,0,1,17,18,0,0
20,1,0,2,0,20,0,0
21,1,0,2,1,21,0,0
22,1,0,2,2,22,0,0
23,1,0,2,3,23,0,0
24,1,0,2,4,24,0,0
25,1,0,2,5,25,0,0
26,1,0,2,6,26,0,0
27,1,0,2,7,27,0,0
28,1,0,2,8,28,0,0
29,1,0,2,9,29,0,0
30,1,0,2,10,30,0,0
31,1,0,2,11,31,0,0
32,1,0,2,12,20,0,0
33,1,0,2,13,21,0,0
34,1,0,2,14,22,0,0
35,1,0,2,15,23,0,0
36,1,0,2,16,24,0,0
37,1,0,2,17,25,0,0
38,1,0,2,18,26,0,0
39,1,0,2,19,27,0,0
40,1,0,2,20,28,0,0
41,1,0,2,21,29,0,0
42,1,0,2,22,30,0,0
43,1,0,2,23,31,0,0
44,1,0,3,0,44,0,0
45,1,0,3,1,45,0,0
46,1,0,3,2,46,0,0
47,1,0,3,3,47,0,0
48,1,0,3,4,48,0,0
49,1,0,3,5,49,0,0
50,1,0,3,6,50,0,0
51,1,0,3,7,51,0,0
52,1,0,3,8,52,0,0
53,1,0,3,9,53,0,0
54,1,0,3,10,54,0,0
55,1,0,3,11,55,0,0
56,1,0,3,12,56,0,0
57,1,0,3,13,57,0,0
58,1,0,3,14,58,0,0
59,1,0,3,15,59,0,0
60,1,0,3,16,60,0,0
61,1,0,4,0,61,0,0
62,1,0,4,1,62,0,0
63,1,0,4,2,63,0,0
64,1,0,4,3,64,0,0
65,1,0,4,4,65,0,0
66,1,0,4,5,66,0,0
67,1,0,4,6,67,0,0
68,1,0,4,7,68,0,0
69,1,0,4,8,69,0,0
70,1,0,4,9,70,0,0
71,1,0,4,10,71,0,0
72,1,0,4,11,72,0,0
73,1,0,4,12,73,0,0
74,1,0,4,13,74,0,0
76,1,0,5,0,81,0,0
77,1,0,5,1,82,0,0
78,1,0,5,2,83,0,0
79,1,0,5,3,77,0,0
80,1,0,5,4,77,0,0
81,1,0,5,5,76,0,0
82,1,0,5,6,77,0,0
83,1,0,5,7,76,0,0
84,1,0,5,8,76,0,0
85,1,1,1,0,85,0,0
86,1,1,1,1,86,0,0
87,1,1,1,2,87,0,0
88,1,1,1,3,88,0,0
89,1,1,1,4,89,0,0
90,1,1,1,5,90,0,0
91,1,1,1,6,91,0,0
92,1,1,1,7,92,0,0
93,1,1,1,8,93,0,0
94,1,1,1,9,94,0,0
95,1,1,1,10,95,0,0
96,1,1,1,11,96,0,0
97,1,1,1,12,97,0,0
98,1,1,1,13,98,0,0
99,1,1,1,14,99,0,0
100,1,1,1,15,100,0,0
101,1,1,1,16,101,0,0
102,1,1,2,0,102,0,0
103,1,1,2,1,103,0,0
104,1,1,2,2,104,0,0
105,1,1,2,3,105,0,0
106,1,1,2,4,106,0,0
107,1,1,2,5,107,0,0
108,1,1,2,6,108,0,0
109,1,1,2,7,109,0,0
110,1,1,2,8,110,0,0
111,1,1,2,9,111,0,0
112,1,1,2,10,112,0,0
113,1,1,2,11,113,0,0
114,1,1,2,12,114,0,0
115,1,1,2,13,115,0,0
116,1,1,2,14,116,0,0
117,1,1,2,15,102,0,0
118,1,1,2,16,103,0,0
119,1,1,2,17,104,0,0
120,1,1,2,18,105,0,0
121,1,1,2,19,106,0,0
122,1,1,2,20,107,0,0
123,1,1,2,21,108,0,0
124,1,1,2,22,109,0,0
125,1,1,2,23,110,0,0
126,1,1,2,24,111,0,0
127,1,1,2,25,112,0,0
128,1,1,2,26,113,0,0
129,1,1,2,27,114,0,0
130,1,1,2,28,115,0,0
131,1,1,2,29,116,0,0
132,1,1,3,0,132,0,0
133,1,1,3,1,133,0,0
134,1,1,3,2,134,0,0
135,1,1,3,3,135,0,0
136,1,1,3,4,136,0,0
137,1,1,3,5,137,0,0
138,1,1,3,6,138,0,0
139,1,1,3,7,139,0,0
140,1,1,3,8,140,0,0
141,1,1,3,9,141,0,0
142,1,1,3,10,142,0,0
143,1,1,3,11,143,0,0
144,1,1,3,12,144,0,0
145,1,1,3,13,145,0,0
146,1,1,3,14,146,0,0
147,1,1,3,15,147,0,0
148,1,1,3,16,148,0,0
149,1,1,3,17,149,0,0
150,1,1,3,18,150,0,0
151,1,1,3,19,151,0,0
152,1,1,3,20,152,0,0
153,1,1,3,21,153,0,0
154,1,1,3,22,154,0,0
155,1,1,3,23,155,0,0
156,1,1,4,0,156,0,0
157,1,1,4,1,157,0,0
158,1,1,4,2,158,0,0
159,1,1,4,3,159,0,0
160,1,1,4,4,160,0,0
161,1,1,4,5,161,0,0
162,1,1,4,6,162,0,0
163,1,1,4,7,163,0,0
164,1,1,4,8,164,0,0
165,1,1,4,9,165,0,0
166,1,1,4,10,166,0,0
167,1,1,4,11,167,0,0
168,1,1,4,12,168,0,0
169,1,1,4,13,169,0,0
177,2,0,1,0,353,0,0
178,2,0,1,1,354,0,0
179,2,0,1,2,355,0,0
180,2,0,1,3,356,0,0
181,2,0,1,4,357,0,0
182,2,0,1,5,358,0,0
183,2,0,1,6,359,0,0
184,2,0,1,7,360,0,0
185,2,0,1,8,361,0,0
186,2,0,1,9,362,0,0
187,2,0,1,10,363,0,0
188,2,0,1,11,364,0,0
189,2,0,1,12,365,0,0
190,2,0,1,13,366,0,0
191,2,0,1,14,367,0,0
192,2,0,1,15,368,0,0
193,2,0,1,16,369,0,0
194,2,0,1,17,370,0,0
195,2,0,1,18,371,0,0
